User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
elevebf01;score;84;50;16;8;0;00:52:00;0;Female;0;6;4;5;1;2;9;12;10;9;12;13;10;10;12;10;11;11;13;17;1;0;0;2;-1;0;7
elevebf03;timer;89;49;16;6;0;01:12:38;0;Female;7;4;2;7;-5;8;17;15;14;14;14;15;4;16;19;20;15;19;20;8;-1;4;6;1;5;5;4
elevebf04;progress;120;81;22;11;2;01:34:16;0;Female;6;5;-11;8;-3;-5;16;17;20;20;16;14;4;15;19;17;20;16;17;7;-1;2;-3;0;0;3;3
elevebf05;avatar;74;56;16;8;0;00:56:49;0;Female;7;0;4;4;-8;11;11;15;12;15;15;13;7;9;9;9;11;11;10;11;-2;-6;-3;-4;-4;-3;4
elevebf06;ranking;73;51;13;8;0;00:49:42;0;Female;2;3;8;10;5;12;9;10;6;12;13;16;9;8;7;6;15;13;12;13;-1;-3;0;3;0;-4;4
elevebf07;score;80;46;13;4;0;00:51:26;1;Female;-4;12;12;7;-6;10;14;20;9;4;17;20;5;9;20;6;6;19;20;11;-5;0;-3;2;2;0;6
elevebf08;badges;76;59;13;9;0;00:44:45;1;Female;-7;2;0;8;-7;3;12;14;10;20;14;11;7;7;11;8;17;11;9;15;-5;-3;-2;-3;-3;-2;8
elevebf09;timer;70;33;10;3;0;00:41:37;0;Female;9;11;10;9;7;9;7;11;4;5;9;12;10;9;13;6;8;11;12;13;2;2;2;3;2;0;3
elevebf10;progress;53;33;9;6;0;00:37:43;2;Female;6;8;3;5;-5;8;17;17;11;19;16;20;13;14;18;9;20;16;20;12;-3;1;-2;1;0;0;-1
elevebf11;avatar;103;53;23;8;1;01:13:45;0;Female;0;9;6;1;-6;7;14;17;10;11;11;16;7;11;18;8;13;13;15;9;-3;1;-2;2;2;-1;2
elevebf12;ranking;107;84;22;13;2;01:19:31;1;Female;3;4;8;5;-7;11;16;14;14;17;11;11;4;12;13;12;15;13;11;7;-4;-1;-2;-2;2;0;3
elevebf14;score;74;50;11;5;0;00:58:31;1;Female;-8;9;-7;3;-6;-2;12;14;12;12;12;15;7;12;12;12;12;11;12;9;0;-2;0;0;-1;-3;2
elevebg01;score;27;10;7;1;0;00:22:33;0;Male;-1;-9;10;9;6;12;11;9;4;14;4;11;16;8;10;7;9;5;11;10;-3;1;3;-5;1;0;-6
elevebg02;badges;56;42;11;7;0;00:42:04;0;Male;-3;3;1;2;-3;-3;12;11;6;9;9;15;5;10;13;9;9;12;14;10;-2;2;3;0;3;-1;5
elevebg03;timer;98;70;18;8;0;01:35:59;0;Male;4;11;8;5;-2;4;13;16;16;15;15;14;13;15;17;19;13;20;15;13;2;1;3;-2;5;1;0
elevebg04;progress;79;45;16;4;0;01:06:20;0;Male;8;-4;4;4;-3;3;18;17;18;14;14;16;4;13;17;16;12;15;14;7;-5;0;-2;-2;1;-2;3
elevebg05;avatar;51;30;8;4;0;00:30:59;0;Male;-5;-2;-12;-2;-1;-10;11;11;7;10;8;8;12;11;15;9;16;15;14;10;0;4;2;6;7;6;-2
elevebg06;ranking;72;48;13;8;0;00:53:40;0;Male;3;10;9;6;-1;2;15;15;13;18;15;15;5;12;15;11;17;13;13;8;-3;0;-2;-1;-2;-2;3
elevebg07;score;110;78;21;11;2;01:51:03;0;Male;9;12;7;8;5;10;16;20;17;20;16;15;7;14;16;14;15;13;13;10;-2;-4;-3;-5;-3;-2;3
elevebg09;timer;157;69;29;6;1;02:21:24;1;Male;-3;10;3;7;2;2;14;17;14;12;17;13;5;11;13;12;11;10;11;12;-3;-4;-2;-1;-7;-2;7
elevebg10;progress;102;83;16;12;2;01:22:31;1;Male;11;5;3;9;0;10;20;18;17;16;17;18;9;17;19;14;16;19;14;8;-3;1;-3;0;2;-4;-1
elevebg11;avatar;117;54;24;5;0;01:29:23;0;Male;-1;10;8;3;-9;-4;16;17;9;15;8;18;4;12;19;14;19;15;17;8;-4;2;5;4;7;-1;4
eleveff01;score;116;56;31;6;0;01:17:03;0;Female;11;10;7;11;-3;8;20;18;13;20;18;20;4;14;18;11;20;17;18;8;-6;0;-2;0;-1;-2;4
eleveff02;badges;91;55;23;10;1;01:07:06;1;Female;6;-8;0;4;-4;5;14;16;11;19;18;16;5;11;15;12;18;16;15;8;-3;-1;1;-1;-2;-1;3
eleveff04;progress;51;45;12;11;1;00:43:27;2;Female;6;9;8;4;-10;9;14;19;15;19;17;17;7;11;15;9;12;11;16;8;-3;-4;-6;-7;-6;-1;1
eleveff05;avatar;149;70;36;8;0;01:55:14;1;Female;4;5;-8;7;-7;3;19;17;14;19;18;18;4;12;17;13;17;18;17;8;-7;0;-1;-2;0;-1;4
eleveff06;avatar;97;59;24;10;1;01:11:24;0;Female;-9;12;-7;6;-7;6;9;11;14;17;16;14;7;12;19;12;17;14;15;12;3;8;-2;0;-2;1;5
eleveff07;ranking;86;55;21;8;1;00:58:22;3;Female;-8;9;9;5;-2;1;9;17;7;7;8;10;12;11;18;7;10;9;13;18;2;1;0;3;1;3;6
eleveff08;score;62;45;13;9;1;00:48:40;0;Female;0;0;4;4;-7;5;15;18;11;10;15;17;4;9;16;10;14;11;16;8;-6;-2;-1;4;-4;-1;4
elevefg01;score;16;7;4;1;0;00:23:01;0;Male;3;12;8;5;3;6;14;14;8;13;18;14;7;11;17;10;9;11;18;12;-3;3;2;-4;-7;4;5
elevefg02;badges;38;26;9;6;1;00:31:50;1;Male;8;8;5;5;-5;2;18;17;16;19;17;14;4;15;18;18;20;16;11;7;-3;1;2;1;-1;-3;3
elevefg03;timer;102;37;19;6;1;01:12:30;0;Male;1;9;6;12;2;6;20;16;7;20;14;20;6;12;12;6;20;14;13;8;-8;-4;-1;0;0;-7;2
elevefg04;progress;139;74;25;6;0;01:20:27;2;Male;5;11;7;8;-4;-4;18;17;7;11;15;19;6;8;13;6;18;7;14;9;-10;-4;-1;7;-8;-5;3
elevefg05;avatar;96;58;26;8;0;01:10:01;1;Male;9;10;-4;9;0;2;14;16;11;19;15;20;4;12;19;11;20;15;20;8;-2;3;0;1;0;0;4
elevefg06;ranking;98;34;20;5;0;01:00:56;1;Male;-2;3;5;-1;1;4;11;14;10;15;14;15;6;11;8;8;10;9;10;12;0;-6;-2;-5;-5;-5;6
elevefg07;score;108;84;22;15;1;01:35:53;2;Male;6;4;2;6;6;9;16;18;15;15;13;16;8;12;13;14;16;10;14;8;-4;-5;-1;1;-3;-2;0
elevefg09;timer;88;46;22;4;0;01:16:01;0;Male;8;12;11;10;-2;11;18;17;13;18;16;17;4;13;16;13;19;15;19;9;-5;-1;0;1;-1;2;5
elevefg10;progress;157;86;37;13;2;02:20:53;4;Male;0;5;10;11;-5;4;15;18;17;16;10;7;4;8;11;10;18;10;10;13;-7;-7;-7;2;0;3;9
elevefg11;avatar;80;55;19;10;1;01:11:10;1;Male;1;12;5;4;3;0;12;15;10;17;13;15;6;11;16;10;17;11;15;9;-1;1;0;0;-2;0;3
elevefg12;ranking;146;82;30;9;0;02:01:41;2;Male;4;9;3;4;-5;9;13;16;8;20;15;18;11;13;16;9;20;15;15;13;0;0;1;0;0;-3;2
elevefg13;score;122;44;30;4;0;01:17:55;1;Male;1;6;4;-2;-9;7;16;15;10;15;13;18;5;12;14;11;16;16;17;8;-4;-1;1;1;3;-1;3
elevefg14;ranking;94;41;23;8;1;01:28:20;0;Male;7;12;5;10;-2;5;19;18;16;19;16;15;4;14;16;16;16;16;18;9;-5;-2;0;-3;0;3;5
elevefg15;ranking;92;60;26;12;2;01:08:16;0;Male;2;9;4;-1;-6;-2;8;11;11;20;7;10;4;6;9;6;16;6;8;6;-2;-2;-5;-4;-1;-2;2
elevefg16;progress;60;30;16;3;0;00:53:35;1;Male;-10;6;-8;-6;-12;-5;8;9;4;18;6;18;4;8;10;4;17;4;14;14;0;1;0;-1;-2;-4;10
elevegf01;score;42;21;7;3;0;00:35:42;0;Female;1;6;3;2;-6;-8;12;15;9;20;18;19;12;13;11;6;14;10;15;12;1;-4;-3;-6;-8;-4;0
elevegf03;timer;93;43;17;5;0;01:09:42;0;Female;-3;3;6;6;-8;3;13;12;11;20;13;16;10;13;17;15;20;17;17;8;0;5;4;0;4;1;-2
elevegf04;progress;98;75;22;13;3;01:42:01;0;Female;3;7;-4;9;-3;0;14;15;13;13;13;14;4;14;15;19;13;14;15;8;0;0;6;0;1;1;4
elevegf05;avatar;93;73;24;19;4;01:18:29;0;Female;7;11;0;12;10;5;20;17;18;20;15;18;6;16;20;18;18;16;16;9;-4;3;0;-2;1;-2;3
elevegf08;avatar;110;75;25;16;2;01:26:34;0;Female;7;12;10;8;-2;11;17;18;14;19;16;19;4;14;19;13;18;20;18;8;-3;1;-1;-1;4;-1;4
elevegf09;ranking;105;74;22;13;2;01:35:04;2;Female;4;5;9;9;-11;8;12;14;11;18;19;17;4;12;17;12;20;17;17;8;0;3;1;2;-2;0;4
elevegf10;badges;86;58;20;12;2;01:02:38;0;Female;11;-7;-9;7;-3;-11;15;16;17;16;13;20;5;12;15;17;17;13;18;9;-3;-1;0;1;0;-2;4
elevegg01;score;96;57;22;11;2;01:03:14;1;Male;7;10;5;6;1;6;13;16;16;16;15;17;6;13;16;15;17;14;14;11;0;0;-1;1;-1;-3;5
elevegg02;badges;98;69;21;11;0;01:13:48;0;Male;0;9;9;9;1;10;11;20;13;8;15;17;10;16;12;13;8;14;17;19;5;-8;0;0;-1;0;9
elevegg03;timer;114;68;30;13;1;01:41:00;1;Male;3;1;4;3;-6;3;15;15;15;16;13;11;5;13;14;15;14;13;13;6;-2;-1;0;-2;0;2;1
elevegg04;progress;196;84;39;12;2;01:59:34;3;Male;12;12;5;9;0;9;19;19;15;20;20;20;4;11;16;13;18;18;10;8;-8;-3;-2;-2;-2;-10;4
elevegg05;avatar;89;67;21;14;1;01:13:14;0;Male;-6;-9;-7;-4;-10;-5;9;8;10;13;7;15;5;8;7;4;18;8;12;12;-1;-1;-6;5;1;-3;7
elevegg06;ranking;88;76;22;19;3;01:20:58;0;Male;4;7;10;6;6;4;16;17;16;13;16;16;7;12;12;13;9;11;12;11;-4;-5;-3;-4;-5;-4;4
elevegg08;badges;94;62;25;13;2;01:07:23;0;Male;-12;12;-6;0;6;-12;8;10;9;5;9;20;20;13;7;10;11;6;16;17;5;-3;1;6;-3;-4;-3
elevegg09;timer;78;49;17;6;0;01:11:56;1;Male;-7;0;6;7;-5;-1;11;14;6;15;14;14;6;12;13;6;15;15;13;8;1;-1;0;0;1;-1;2
elevegg10;progress;107;73;25;14;2;01:26:26;3;Male;-4;-12;-6;-9;-12;12;8;7;7;11;12;9;11;4;4;4;4;4;4;4;-4;-3;-3;-7;-8;-5;-7
elevegg11;avatar;136;84;25;10;1;01:55:35;0;Male;8;11;4;4;3;-6;18;20;20;12;17;17;6;16;20;18;13;16;20;10;-2;0;-2;1;-1;3;4
elevegg12;ranking;128;89;30;18;3;01:51:56;2;Male;6;7;-1;0;-1;2;16;13;15;12;9;16;4;14;17;15;16;13;14;9;-2;4;0;4;4;-2;5
elevegg13;ranking;151;115;32;19;5;02:02:45;2;Male;9;6;5;8;-2;12;19;18;16;15;17;17;4;13;15;14;17;15;8;6;-6;-3;-2;2;-2;-9;2
elevegg15;timer;121;87;26;17;4;01:38:51;3;Male;2;5;-8;2;-6;-1;15;17;11;13;9;17;5;14;18;13;10;11;12;10;-1;1;2;-3;2;-5;5
eleveif01;score;108;61;28;11;1;01:43:45;0;Female;11;10;10;8;1;9;10;15;9;10;15;19;5;12;16;13;12;17;18;12;2;1;4;2;2;-1;7
eleveif02;badges;120;70;23;10;0;01:25:25;0;Female;6;10;10;4;-9;6;16;16;13;18;16;18;4;12;17;15;17;18;20;8;-4;1;2;-1;2;2;4
eleveif03;timer;83;61;18;13;2;01:22:45;1;Female;-1;12;10;10;-5;2;10;13;6;6;11;15;10;14;12;12;10;14;14;12;4;-1;6;4;3;-1;2
eleveif05;avatar;110;91;21;16;1;01:14:35;5;Female;3;12;2;8;4;3;10;17;8;6;15;18;10;11;17;9;8;12;14;9;1;0;1;2;-3;-4;-1
eleveif06;ranking;123;79;29;15;2;01:36:11;2;Female;8;8;8;9;0;9;15;19;12;20;16;19;6;11;16;11;18;15;16;8;-4;-3;-1;-2;-1;-3;2
eleveif07;score;89;63;21;10;1;01:11:27;2;Female;-1;9;11;3;2;9;13;9;18;9;10;6;12;13;15;7;13;16;18;15;0;6;-11;4;6;12;3
